PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=258 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=259 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=260 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=261 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=262 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=263 ttl=114 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=264 ttl=114 time=31.2 ms
64 bytes from 8.8.8.8: icmp_seq=265 ttl=114 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=266 ttl=114 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=267 ttl=114 time=53.0 ms
64 bytes from 8.8.8.8: icmp_seq=268 ttl=114 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=269 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=270 ttl=114 time=54.4 ms
64 bytes from 8.8.8.8: icmp_seq=271 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=272 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=273 ttl=114 time=35.2 ms
64 bytes from 8.8.8.8: icmp_seq=274 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=275 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=276 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=277 ttl=114 time=46.7 ms
64 bytes from 8.8.8.8: icmp_seq=278 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=279 ttl=114 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=280 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=281 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=282 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=283 ttl=114 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=284 ttl=114 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=285 ttl=114 time=56.5 ms
